"ename","SNP.Acc..Matches","yield","height","lodging","DysToR8","oil","protein","seedweight","shatearly","stemtermscore","EID"
"SOYBEAN.EVALUATION.MN0102","PI593975",1.49,39,1,111,18.3,41.2,28.9,3,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI597404",1.49,74,3,105,19.4,40.5,10.2,2,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI599299",2.53,80,1.5,113,20.5,38.1,16.1,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI608438",2.43,78,2,121,19.4,38.3,16.9,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI603698H",1.28,71,2.5,111,17.4,44.4,15.5,5,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI603290",1.23,60,2.5,124,17.5,41.6,17.6,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI597405B",2.22,85,2.5,111,20.2,42.2,13.8,2,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI603698B",1.45,85,2.5,120,17.9,42.1,17.4,3,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI594016",1.48,82,4,122,14.8,43.8,12.3,2,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI597487",1.63,42,2.5,115,16.1,44.6,24,2,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI612713A",2.11,70,1.5,115,17.6,42.6,16,2,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI603758C",0.87,87,3,126,14.4,46.2,11.8,1,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI603587A",1.63,105,4.5,123,16.4,48.8,11.1,1,4,"1"
"SOYBEAN.EVALUATION.MN0102","PI603148",2.01,59,2,118,17.2,41.6,25.9,2,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI612723",2.31,68,2,124,19.3,39.1,15.5,3,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI612617A",1.77,83,3,127,17.5,43.5,17.1,2,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI603349",1.79,106,3,129,17.5,42.2,19.9,1,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI612764",2.68,74,2.5,110,21,39.6,14.6,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI612711B",1.3,52,1.5,122,16.9,43.6,15.1,2,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI603698E",1.6,78,3,121,17.5,50.1,13.9,4,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI612722",2.31,85,2.5,126,17.9,39.2,16.8,1,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI612715",2.59,78,1.5,119,18.5,41.6,19.8,2,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI603373",1.47,86,3,123,17.5,50.8,15.1,1,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI603758B",0.86,75,3.5,123,14.6,46.6,11.9,1,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI603561",1.89,73,1.5,109,20.1,40.8,15.2,1,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI597443",2.42,84,2,111,17.5,43,20.1,2,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI608726",2.38,93,2,111,19.4,41.4,17.9,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI597446",2.07,69,1.5,113,18.6,40.8,14.3,1,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI599300",2.31,69,2,113,20.4,41.5,17.4,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI504485",1.15,41,1.5,111,15.1,45.4,22.3,5,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI603546A",1.3,69,2,125,15.6,48.5,15.6,1,1.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI593970",1.5,40,1.5,124,17.1,53.2,23,3,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI603750A",0.83,71,3,129,16.9,44.3,15.5,1,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI597442",1.57,60,2.5,105,19,42.2,16.5,2,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI603361",1.77,82,2.5,125,17.6,41.2,23.2,2,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI597397B",1.97,81,2.5,111,18.8,41.5,13,1,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI603371",1.22,74,2,121,15,51.8,14,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI603727",0.89,60,4.5,121,16.4,49.3,8.3,2,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI504494",1.06,45,2,111,15.7,45.2,22.9,4,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI603443B",0.86,64,3,103,15.9,49.3,10.7,2,3.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI593997",1.28,50,1.5,103,16.5,53.5,19.8,4.5,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI594170A",1.31,50,2,114,17.9,39.7,10.5,2,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI612714B",1.54,73,3,120,17.3,41.4,13.7,1,1.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI594198",1.54,47,2,115,17.9,42.8,21.6,3,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI612716",2.19,76,1.5,121,17.7,39.9,18.2,2,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI603302",2,89,3.5,127,18.2,40.9,21.9,1,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI603298",2.29,75,2.5,119,19.2,40.2,19.7,1,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI603378A",1.52,73,2,123,17.5,39.8,18,2,1.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI603305",1.99,67,4,111,18.2,41.5,15.1,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI603438B",1.58,86,4,124,16.8,44.4,16,2,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI597439",1.54,68,1.5,119,19.2,39.7,17.5,1,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI593949A",1.52,47,1.5,117,17.2,41.3,28.6,2,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI603445A",1.58,73,3,127,16.4,49.1,22.1,1,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI593972",2.27,64,1.5,123,17.3,40.7,10.9,1,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI603341",2.05,63,2,116,17.9,41.6,16.9,2,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI612754",0.15,73,5,115,15.7,49,5.5,5,5,"1"
"SOYBEAN.EVALUATION.MN0102","PI612763",2.59,91,2,119,19.1,40.8,15.5,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI483459",0.83,54,4.5,113,12.6,48.5,3.8,3,4.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI594314",1.08,36,2,121,18.7,41.2,17.1,3,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI603350",1.87,88,2,125,17.6,42.4,18.2,1,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI614833",2.44,74,2,120,18.5,40.1,15.6,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI603388",1.66,80,3,115,19,41.2,16.3,2,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI603293A",1.98,102,4,121,19.5,40.7,18.9,1,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI612717",2.58,64,1.5,123,19.3,39.1,20.1,1,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI593969",1.71,75,3,111,18.1,43.4,17.8,2,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI612761B",1.14,122,4,123,14.2,50.6,7.7,2,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI578417B",2.04,112,4,119,18.9,40.1,17.9,2,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI603360",1.85,86,2.5,108,18.3,40.4,18.4,2,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI603698D",1.52,75,3,123,15.7,50.3,13.6,2,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI603479",1.52,80,3,127,17.6,45.6,17.5,1,3.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI603444B",0.84,89,3.5,127,15.6,48,10.2,2,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI603758A",0.54,75,4.5,130,15.1,45.8,12.2,2,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI603704A",0.29,68,4.5,129,14.1,52.5,9.4,3,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI603375",1.29,89,3,121,18.3,39.5,15.4,2,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI597445",1.82,66,2,114,18.9,41.7,15.2,1,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI468907",0.97,101,4,117,11.7,55.4,4.6,2,5,"1"
"SOYBEAN.EVALUATION.MN0102","PI603422B",0.87,122,5,129,16.3,49,7.8,2,4,"1"
"SOYBEAN.EVALUATION.MN0102","PI578418",2.03,86,2,113,19.1,40.1,20.3,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI593973",1.66,39,1,117,17.8,42.6,24,3,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI597444",2.35,69,2.5,113,19.3,41.9,19.4,3,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI603400",1.46,102,4,128,18.3,39.5,14.6,2,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI602593",2.45,85,2,113,19.5,40.7,15.9,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI592524",2.5,92,2.5,120,18.8,41.4,17.6,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI597429",1.93,65,1,111,18.4,40.8,16.7,1,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI603332",2.29,102,3.5,127,18,42.4,23.2,1,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI593971",1.5,51,1.5,116,18.6,39.9,20.5,2,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI603443A",0.98,83,4.5,127,14.6,49,7.7,2,4,"1"
"SOYBEAN.EVALUATION.MN0102","PI603324B",1.84,84,3.5,121,17.9,41.6,20.9,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI597421",1.58,66,2,111,18.9,42.3,15.8,2,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI603357",1.51,65,2,121,17.5,40.8,12.8,1,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI504484",1.52,46,2,114,15.7,45.3,24.7,3,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI592389",2.26,84,2,118,19.2,40.8,17.3,2,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI603367",1.61,102,3,125,15.9,48.7,13.7,1,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI593968",1.61,60,2,117,16.2,43.3,16.2,1,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI612753B",0.36,92,5,124,14.5,49.9,4.5,3,5,"1"
"SOYBEAN.EVALUATION.MN0102","PI603378B",1.76,66,2,124,18.5,39.6,18.3,2,1.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI592912A",1.55,86,3,121,17.5,43,17.2,1,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI603424D",1.2,127,5,125,16.4,41.2,10.9,1,4.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI612725",2.06,83,2.5,122,18.5,39.7,16.1,2,1.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI597427B",1.98,92,3,119,17.9,42.7,15.9,2,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI612736",2.53,69,2,121,18.4,41.5,14.9,1,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI603447",1.3,92,4,127,17,48.6,16.5,2,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI578401C",1.48,100,3,115,17.6,43,17.9,1,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI597440C",1.7,60,2,121,18.3,39.8,18.1,1,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI594200",1.74,64,2,121,16.9,40,17.4,2,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI594304A",2.06,80,2.5,123,17.3,40.5,28.8,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI594301",1.27,46,1.5,124,17.4,40.9,24,2,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI603698I",1.39,107,2.5,117,16.4,43.8,12.8,4,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI592899",1.49,62,2.5,111,18.5,42,18.4,2,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI603383",1.63,86,4,113,17.3,42.6,16.6,2,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI592907A",1.99,96,3,124,19.4,39.1,14.1,1,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI542768",2.58,93,2.5,121,19,40.6,17.3,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI597397A",2.26,83,2,109,18.8,39.8,12.9,1,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI603427B",1.52,78,4,127,16.8,48.9,13,1,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI594296",1.39,44,1.5,113,19.4,47.5,26.4,5,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI597432",1.99,69,1.5,111,19.9,40.2,15.8,1,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI603429C",1.38,87,4,113,16.8,41.5,13.5,2,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI597419",1.84,85,2,115,18.4,41.2,18.3,1,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI597420",1.75,59,1,110,19.5,40.4,18.1,3,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI612735",2.66,76,2,123,17.9,39,17.4,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI612732",1.43,48,2.5,123,17.9,41.2,18.8,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI593967",1.71,94,3.5,124,18.4,42.9,18.4,2,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI603348B",2.12,107,3,127,17.1,40.7,16.8,2,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI603356",1.4,60,2,115,17.9,42.4,15.7,2,1.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI602497A",1.79,74,3.5,112,17.5,42.6,17.9,2,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI578425",2.3,91,2,113,19.1,41.2,20.4,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI612737",1.57,65,1.5,110,17.8,43.6,20.2,1,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI603321",2.02,84,3,124,18.3,40.4,20.8,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI592907C",1.9,102,3.5,127,17.3,40.8,18.5,2,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI603337A",1.64,88,3.5,123,14.9,50.2,9.8,1,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI603310",1.65,74,2.5,122,17.7,42.6,18.7,2,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI603327",1.97,76,3.5,117,18.6,40,17.1,1,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI578408",1.45,94,3.5,114,20.6,38,16.6,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI564524",1.4,61,3,121,16.4,42,17.7,2,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI578401A",1.87,92,3.5,117,18.1,41.4,17.2,2,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI603750B",0.3,59,3.5,131,15,44,13.9,2,3.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI603331",1.25,59,2,121,16.5,44.7,13.5,1,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI603427A",1.48,92,4,128,16.8,48.7,12.3,2,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI612760",0.47,71,5,119,15,46.1,5.7,2,5,"1"
"SOYBEAN.EVALUATION.MN0102","PI603430B",1.46,85,4,122,17.8,41.7,17,2,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI578481",1.41,62,1.5,112,17.2,44,17.1,2,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI583364",2.24,85,2,113,20.3,38.7,12.5,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI603432C",1.6,70,2,105,18.4,42.3,15,2,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI597440B",2.04,86,2.5,121,17.5,40,15.2,1,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI578407",1.64,81,3,109,19.4,39.8,13.8,1,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI592970",1.92,86,3,132,17.9,42.9,16.6,1,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI603431",1.48,84,2.5,125,19.4,40.4,18.3,2,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI603424B",1.86,52,3.5,113,17.3,41.7,13.4,2,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI603424C",1.02,58,3,125,16.3,43.7,11.2,2,1.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI603329",2.09,75,3,119,18.6,41.8,14.4,1,1.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI603323",1.73,60,3,117,18.1,41.4,15.5,1,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI603428A",1.99,101,3.5,125,16.9,49.9,19.2,1,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI603348A",2.04,80,3,121,17.4,41.9,15.7,2,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI597427A",1.58,61,1.5,119,17.7,40.2,18.1,1,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI597411A",1.91,92,3,125,18.3,41.4,18.5,1,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI593943",1.59,69,2,109,18,37.7,16.2,2,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI603338",1.92,112,3,121,19.4,51.9,16.6,1,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI603304",2.12,85,3,119,17.8,40.4,21.3,1,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI603312",1.85,74,2,108,19.8,40.4,21,1,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI612744",2.3,67,1.5,118,19.2,39.7,14.4,2,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI578420",2.14,89,3.5,120,19.2,40.3,18.7,1,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI594178",1.3,55,1.5,113,18.2,41.5,24,4,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI616498",2.64,81,2,113,19.2,39.2,17.5,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI578382",2.28,54,2.5,116,16.9,44.9,18.4,2,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI578392A",1.41,74,3,111,19.6,40.5,13.7,2,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI578401B",1.87,78,2.5,117,17.2,43.3,18.5,2,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI603352",1.52,84,3.5,123,18.2,42.6,18.8,1,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI603377",1.64,112,3.5,120,17.7,42.2,16,3,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI592911B",1.19,103,3.5,120,17.4,53.3,12.2,2,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI592921",1.45,78,1.5,119,18.5,39.9,18.7,1,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI578432B",1.78,85,2,113,18.8,40.5,18.9,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI593956A",2.12,79,2.5,119,18.2,41.3,18.5,1,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI603339B",2.11,95,2.5,123,17,50,17,2,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI603355",1.83,64,2.5,123,17.9,42.3,16.6,1,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI597415",1.84,83,3,114,18.1,42.1,13.3,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI603330",2.02,56,3,121,17.6,42.1,16,1,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI593953",2.12,60,1,111,18.5,41,16.3,1,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI603438A",1.72,89,4,119,16.6,49.2,15.1,2,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI603308B",2.03,97,3.5,120,17.6,41,19.2,2,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI603309",1.52,70,2.5,112,17.6,44,19.8,3,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI578375B",2.25,86,3,115,16.2,50.2,12.9,2,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI612746",1.95,80,2,125,17.1,42,25.5,1,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI578431",1.53,84,2.5,109,19.5,40.8,19.8,2,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI578421",1.76,88,2,114,19.1,39.2,21,1,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI567787",0.36,63,2,91,19.9,43,15.6,3,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI603408",1.02,73,2.5,125,18.2,46.2,10.3,2,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI578384",1.85,63,2.5,120,18.2,41.2,18.8,1,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI592907B",1.88,84,3,119,17.7,41.9,17.3,2,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI612726",2.53,87,2,123,18.3,41.9,20.6,1,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI578388B",1.88,76,3,113,17.3,44,18.9,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI593942",1.72,57,1,104,18.3,40.6,14.5,1,1.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI592912B",1.65,86,2,119,17.8,41.7,17.6,2,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI592957",1.53,84,2.5,123,17.3,42.4,19,1,1.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI603354",1.88,71,3,121,17.1,43.8,13.8,2,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI593961",1.78,108,4,121,17,45.2,16,2,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI578380A",2.07,102,4,115,18.8,40,16.4,2,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI578374",1.65,51,1.5,119,17.3,52.1,19.4,1,1,"1"
"SOYBEAN.EVALUATION.MN0102","PI592907D",1.22,79,2.5,126,17.7,41.8,15.6,2,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI612724",2.58,86,2,125,18.5,39.2,16.3,2,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI592967",1.9,76,2,117,18.6,41.4,17.7,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI578409A",2.07,100,4,119,18.4,40.7,18.7,2,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI592958",1.77,90,3,126,17.9,40.1,19.3,1,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI603308A",1.84,71,2,119,17.3,40.4,23.3,2,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI603307",2.2,81,3.5,117,16.9,47,16.6,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI597405D",1.6,85,4,109,19.8,40.1,11.1,2,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI597406",1.14,107,3.5,126,15.5,53.8,9.6,1,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI597405C",2.26,105,2.5,111,20.1,39.5,12.4,1,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI592926",1.9,86,2.5,115,18.7,41.7,20.8,1,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI592960",2.16,76,2,111,19.6,39.1,15.2,1,2.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI597407B",1.58,97,3.5,125,17.8,41.3,16.9,1,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI603666",0.79,102,4,131,12.8,48.9,10.5,1,3.5,"1"
"SOYBEAN.EVALUATION.MN0102","PI597407A",2.17,92,3,124,18.4,40.9,18.5,2,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI603594",1.18,88,3,131,15.3,43.7,15.7,2,3,"1"
"SOYBEAN.EVALUATION.MN0102","PI592977",1.98,66,1.5,113,18.4,39.9,15.3,1,2,"1"
"SOYBEAN.EVALUATION.MN0102","PI603306",1.27,63,3,98,17.9,42,16.8,2,3,"1"
